profile_id_dummy,education_institute,degree_name,start_year_degree,end_year_degree
0,Faculty of Management Studies - University of Delhi,Master of Business Administration (MBA),2016,2018
0,Narayana Junior College - India,Mathematics Physics Chemistry,2010,2012
0,National Institute of Technology Karnataka,"Bachelor of Technology - BTech, Computer Science Engineering",2012,2016
1,University of Illinois Urbana-Champaign,"Master of Business Administration - MBA, Entrepreneurship/Entrepreneurial Studies",2019,2021
1,Rice University,"Bachelor’s Degree, Chemical and Biomolecular Engineering, Economics",2009,2013
2,Walsh College,"Master of Business Administration - MBA, Technology and Data Science",2021,2022
2,Liverpool John Moores University,"Online Master's degree, Machine Learning and Artificial Intelligence",2020,2022
2,BMS Institute of Technology and Management,"Bachelor of Technology (B.Tech.), Computer Science",2012,2016
6,Vellore Institute of Technology,"Bachelor's degree, Electronics and Communication Engineering",2013,2017
6,Jamnalal Bajaj Institute of Management Studies (JBIMS),"Masters in Management Studies, Business Administration and Management, General",2021,2022
7,Emory University - Goizueta Business School,"Master of Business Administration - MBA, Strategy, Business Analysis (STEM)",2020,2022
7,Savitribai Phule Pune University,"Bachelor of Engineering (B.E.), Mechanical",2008,2012
8,Symbiosis Centre for Management Studies- Pune,"Bachelor’s Degree, BBA in Finance and Accounts",2012,2015
8,National University of Singapore,"Master of Business Administration - MBA, Strategy and Organization & Consulting",2020,2022
8,Lourdes Convent High School,"Business/Commerce, General",2001,2012
9,"Birla Institute of Technology and Science, Pilani","B.E.(Hons.) Electrical and Electronics Engineering, M.Sc.(Hons.) Chemistry",2009,2014
9,EDHEC Business School,"International Exchange Participant, Strategy Consulting and Digital Transformation",2018,2018
9,"Indian Institute of Management, Indore",Master of Business Administration (MBA),2016,2018
10,Rajiv Gandhi Prodyogiki Vishwavidyalaya,"Bachelor's degree, Computer Software Engineering",2008,2012
10,Indian Institute of Management Ahmedabad,Post Graduate Programme,2013,2015
11,DIT UNIVERSITY,"Bachelor of Technology (B.Tech.), Mechanical Engineering",2011,2015
11,"DAV Public School, Amritsar",,1996,2011
12,Delhi Public School  Mathura Road,"High School, Science",2002,2013
12,Netaji Subhas Institute of Technology,"Bachelor’s Degree, Electronics and Communications Engineering",2013,2017
12,University of Minnesota - Carlson School of Management,"Master of Science - MS, Business Analytics",2022,2022
13,Carnegie Mellon University - Heinz College of Information Systems and Public Policy,"Master of Science - MS, Management, Data Analytics and Information Technology",2021,2023
13,"Daulat Ram College, Delhi University","Bachelor of Arts (B.A.) Hons., Economics",2012,2015
13,Harris School of Public Policy at the University of Chicago,Anubhav lecture Series,2018,2018
