profile_id_dummy,education_institute,degree_name,start_year_degree,end_year_degree
0,Carnegie Mellon University,"Bachelor of Science - BS, Electrical and Computer Engineering",1900,1900
0,Carnegie Mellon University,"Bachelor of Science - BS, Computer Science",1900,1900
1,University of Arkansas,"Doctor of Philosophy - PhD, Industrial Engineering",2016,2021
1,The University of Manchester,"BSc, Mathematics and Management Science",1987,1990
1,London Business School,"MBA, Business Administration / Analytics",1997,1999
2,Webster University,"Master of Business Administration (MBA), Business Administration and Management, General",2005,2006
2,Loyola College,,1900,1900
2,"Aptech Computer Education, Chennai, India","Higher Diploma, Computer Software Engineering",1994,1996
13,Ecole normale supérieure,"Visiting Student, Mathematics",2006,2006
13,Princeton University,"PhD, Computer Science",2006,2011
13,Chennai Mathematical Institute,"BSc, Mathematics",2003,2006
14,University of Alabama at Birmingham,"BSME, Mech. Engineering",2003,2007
14,University of Alabama at Birmingham,"Doctor of Philosophy (PhD), Civil Engineering",2011,2015
14,University of Alabama at Birmingham,"MSME, Mech. Engineering",2008,2011
15,Queens College,,1900,1900
16,Delhi College of Engineering,"Bachelor of Engineering, Electrical Engineering",1994,1998
16,"Indian Institute of Management, Calcutta","MBA, Finance and Management of Information Technology",1998,2000
17,"University of Nevada, Reno","MS, Computer Science",2009,2010
17,Boğaziçi University,"BS, Computer Engineering",2004,2009
17,"University of Nevada, Reno","PhD, Computer Science and Engineering",2009,2012
18,"University of California, Berkeley","BS, Chemistry",1983,1985
18,Stanford University,"PhD, Physical Chemistry",1985,1990
19,"Indian Institute of Technology, Kanpur","Bachelor's Degree, Electrical Engineering",2011,2015
20,Cornell University,"Certificate, Executive Leadership",2020,2021
20,Università degli Studi di Palermo,"Doctor of Philosophy - PhD, Machine Learning and Robotics",1900,1900
21,Harvard Business School,"Maximizing Your Leadership Potential (MYLPI), Organizational Leadership",2017,2017
21,University of Virginia,Masters in Data Science,2020,2021
21,Virginia Tech - Pamplin College of Business,"Master of Business Administration (M.B.A.), Finance, General",2002,2004
22,University of Calgary,"Bachelor of Science, Computer Science, Applied Mathematics, Applied Physics",1994,2000
22,Boston University,"Master of Science, Computer Science",2006,2009
23,California State Polytechnic University-Pomona,"Bachelor of Science, Electronics and Computer Engineering",1900,1900
24,The University of Chicago Booth School of Business,"MBA, Finance, Strategy",2002,2002
24,University of Cincinnati,"MS, Electrical Engineering",1994,1994
24,Andhra University,"BE, Electrical Engineering",1991,1991
25,UC Santa Barbara,"Master’s Degree, Electrical and Electronics Engineering",2015,2017
25,KU Leuven,"Bachelor’s Degree, Electrical and Electronics Engineering",2012,2015
26,Ansal Institute of Technology,"Advanced Diploma, Computer Science",2008,2010
26,North Dakota State University,"BS, Computer Science",2010,2012
26,North Dakota State University,Master of Business Administration - MBA,2013,2014
27,Rensselaer Polytechnic Institute - The Lally School of Management,"Bachelors of Science, Management",1988,1988
27,Hudson Valley Community College,"Associate in Science, Liberal Arts and Sciences",1987,1987
27,The Bronx High School of Science,,1980,1984
28,University of Madras,"B.E, Computer Science and Engineering",1994,1998
29,Orta Doğu Teknik Üniversitesi / Middle East Technical University,,1900,1900
