profile_id_dummy,education_institute,degree_name,start_year_degree,end_year_degree,profile_category
DataScience_0,Missouri Southern State University,"Bachelor's degree, Mathematics",2005,2010,DataScience
DataScience_1,Delhi University,"Bachelor of Arts (B.A.), Economics",2002,2005,DataScience
DataScience_1,Anna University,"Master of Science (M.Sc.), Economics",2006,2008,DataScience
DataScience_2,Northcentral University,"Doctor of Philosophy - PhD, Data Science Specialization, Minor in Machine Learning",1900,1900,DataScience
DataScience_2,The University of Iowa Tippie College of Business,"MBA, Business Analytics",2007,2007,DataScience
DataScience_2,"Indian Institute of Technology, Bombay",Operations Research,1900,1900,DataScience
DataScience_3,The University of Texas at Austin,"Master's degree, Quantitative Methods",1900,1900,DataScience
DataScience_3,The University of Texas at Austin,"Master of Science - MS, Statistics and Data Sciences",2017,2018,DataScience
DataScience_4,"National Institute of Technology, Tiruchirappalli","Bachelor of Technology (B.Tech.), Instrumentation and Control Engineering",2006,2010,DataScience
DataScience_4,W. P. Carey School of Business – Arizona State University,"Master of Science (MS), Business Analytics",2014,2015,DataScience
DataScience_4,Harvard Business School Online,"The Credential of Readiness, Business Analytics, Economics for Managers and Financial Accounting",2022,2022,DataScience
DataScience_5,University of Mumbai,"Bachelor of Engineering (B.E.), Computer Engineering",2013,2017,DataScience
DataScience_5,Saint Mary's College of California,"Certificate Program, Global Management Practices and Leadership Strategies",2016,2016,DataScience
DataScience_5,Georgia Institute of Technology,"Master of Science - MS, Computer Science",2017,2018,DataScience
DataScience_6,Central South University,"Master, Applied Probability",2003,2006,DataScience
DataScience_6,Michigan State University,"PhD, Soil Science; Soil X-ray CT imaging",2006,2012,DataScience
DataScience_6,Michigan State University,"Master, Applied Statistics",2006,2011,DataScience
DataScience_7,Cornell University,"Bachelor of Science (B.S.), Electrical and Computer Engineering",2004,2008,DataScience
DataScience_7,Cornell University,"Master of Engineering (M.Eng.), Electrical and Computer Engineering",2009,2010,DataScience
DataScience_7,Vanderbilt University,"Doctor of Philosophy (Ph.D.), Electrical Engineering",2010,2014,DataScience
DataScience_8,Sri Venkateswara University,"Master of Science( M.Sc.,) , Statistics",1998,2000,DataScience
DataScience_8,Sri Venkateswara University,"Doctor of Philosophy - PhD, Statistics",2001,2005,DataScience
DataScience_8,International Institute of Information Technology Bangalore,"Executive PG Program in Machine Learning & Artificial Intelligence, ML and AI",2020,2021,DataScience
DataScience_9,University of Nevada-Las Vegas,"Post-doctoral, Artificial Intelligence",2015,2016,DataScience
DataScience_9,Université Badji Mokhtar de Annaba,"Doctor of Philosophy (PhD), Artificial Intelligence and computer vision",2010,2014,DataScience
DataScience_9,Université Badji Mokhtar de Annaba,"Master by Research, Artificial Intelligence and Pattern Recognition",2008,2010,DataScience
DataScience_10,Indian Statistical Institute,"Master of Science - MS, Applied Statistics and Data Analysis",2007,2009,DataScience
DataScience_10,St. Xavier's College,"B.Sc, Statistics",2004,2007,DataScience
DataScience_11,National Institute of Technology Karnataka Surathkal,"B. Tech, Computer Science",2005,2009,DataScience
DataScience_11,National Institute of Technology Karnataka,"B tech, Computer Science",2005,2009,DataScience
DataScience_11,University of Waterloo,"MMath, Computer Science",2009,2011,DataScience
DataScience_12,The George Washington University,"Master's degree, Computer Engineering",2010,2013,DataScience
DataScience_12,The George Washington University,"Doctor of Philosophy (PhD), Computer Engineering",2014,2021,DataScience
DataScience_12,Shahid Beheshti University,"Bachelor's degree, Electrical and Electronics Engineering",2004,2010,DataScience
DataScience_13,University of Pittsburgh,"PhD, artificial intelligence, learning sciences",2008,2011,DataScience
DataScience_13,Carnegie Mellon University,"Post-doctoral fellowship, Human Computer Interaction",2011,2013,DataScience
DataScience_13,University of Pittsburgh,"MS, artificial intelligence, learning sciences",1999,2007,DataScience
DataScience_14,Azad University (IAU),"Bachelor's degree, Industrial Engineering",1900,1900,DataScience
DataScience_14,Iran University of Science and Technology,"Master's degree, Industrial Engineering",1900,1900,DataScience
DataScience_14,Binghamton University,"Doctor of Philosophy - PhD, Industrial and Systems Engineering",1900,1900,DataScience
DataScience_15,Università degli Studi di Milano,"BS, Physics",2000,2006,DataScience
DataScience_15,Università degli Studi dell'Insubria,"PhD, Astronomy and astrophysics",2006,2009,DataScience
DataScience_16,"Indian Institute of Technology, Kanpur","Master of Technology - MTech, Computer Science",2014,2016,DataScience
DataScience_16,Panjab University,"Bachelor of Technology - BTech, Computer Science",2010,2014,DataScience
DataScience_16,Delhi Public School - Bathinda,High School,1900,1900,DataScience
DataScience_17,"Galvanize - Denver, Platte","Data Science Immersive, Data Science Immersive",2017,2017,DataScience
DataScience_17,Colorado State University,"Doctor of Philosophy (Ph.D.), Biochemistry and Molecular Biology",2008,2012,DataScience
DataScience_17,University of Arkansas,"Bachelor’s Degree, Chemistry and Biochemistry",2003,2007,DataScience
DataScience_18,Georgia Institute of Technology,"Master of Science - MS, Electrical and Computer Engineering",1999,2001,DataScience
DataScience_18,Georgia Institute of Technology,"Doctor of Philosophy - PhD, Electrical and Computer Engineering",2001,2006,DataScience
DataScience_18,University of Central Florida,"Bachelor of Science (B.S.), Computer Engineering",1994,1998,DataScience
DataScience_19,SSN College of Engineering,"Bachelor of Engineering (BE), Electrical and Electronics Engineering",2006,2010,DataScience
DataScience_19,Carnegie Mellon University - Heinz College of Information Systems and Public Policy,"Master of Information Systems Management, Business Intelligence and Data Analytics",2014,2015,DataScience
DataScience_19,Harrisburg University of Science and Technology,"Masters in Analytics, Machine Learning",2019,2019,DataScience
DataScience_20,Georgia Institute of Technology,"Master of Science - MS, Computer Science",2023,2023,DataScience
DataScience_20,UC Irvine,"Bachelor of Science - BS, Civil Engineering",2013,2013,DataScience
DataScience_20,Peking University,University of California Education Abroad Program,2011,2011,DataScience
DataScience_21,University of Reading,"PhD., Atmosphere, Oceans and Climate, Tropical Cyclones and Climate Change",2010,2014,DataScience
DataScience_21,University of Southampton,"MOcean, Oceanography",2006,2010,DataScience
DataScience_22,SVN College Madurai,"Bachelor of Science (B.Sc.), Mathematics",1999,2002,DataScience
DataScience_22,"Sirumalar Girls Hr. Sec. School, Madurai",,1992,1999,DataScience
DataScience_22,Thiagarajar College of Engineering,Master of Computer Applications (MCA),2002,2005,DataScience
DataScience_23,Goa Institute of Management,"Master of Business Administration (M.B.A.), Finance, General",1900,1900,DataScience
DataScience_23,"Birla Institute of Technology and Science, Pilani","M.Tech, Chemical Engineering",1900,1900,DataScience
DataScience_23,Malaviya National Institute of Technology Jaipur,"Bachelor of Technology (BTech), Chemical Engineering",1900,1900,DataScience
DataScience_24,Purdue University,"Doctor of Philosophy (PhD), Aerospace, Aeronautical and Astronautical Engineering",2012,2015,DataScience
DataScience_24,Wright State University,"Master of Science (M.S.), Mechanical Engineering",2011,2012,DataScience
DataScience_25,University of Florida,"Doctor of Philosophy - PhD, Mechanical and Aerospace Engg",2002,2005,DataScience
DataScience_25,University of Florida,"M.S, Aerospace Engg",1999,2002,DataScience
DataScience_25,"Indian Institute of Technology, Madras","Btech, Aerospace Engg",1995,1999,DataScience
DataScience_26,Malaviya National Institute of Technology Jaipur,"B.Tech, Chemical Engineering",2006,2010,DataScience
DataScience_26,National Chemical Laboratory Pune,"Master of Technology (M.Tech.), Chemical Engineering: Modeling and Simulation",2011,2013,DataScience
DataScience_27,MIT Professional Education,Leadership & Innovation,2020,2020,DataScience
DataScience_27,University of North Carolina at Charlotte,"Master's degree, Data Science and Business Analytics",2016,2017,DataScience
DataScience_27,University of North Carolina at Charlotte,"Doctor of Philosophy - PhD, Computing and Information Systems",2018,2022,DataScience
DataScience_28,Southeast University,"MS, Physics",2001,2004,DataScience
DataScience_28,University of Missouri-Columbia,"PhD, Physics",2004,2010,DataScience
DataScience_28,University of Missouri-Columbia,"MA, Statistics",2007,2010,DataScience
DataScience_29,US Army,"Certified AMMO 67, Logistics and Transportation",2003,2009,DataScience
DataScience_29,University of Colorado Denver,"Master's degree, Economics",2013,2016,DataScience
DataScience_29,Western Michigan University,"Bachelor's, Economics, Anthropology",2010,2012,DataScience
DataScience_30,Missouri University of Science and Technology,"Masters Degree, Computer Science",2014,2015,DataScience
DataScience_30,Osmania University,"Bachelor of Engineering (B.E.), Computer Science",2010,2014,DataScience
