profile_id_dummy,company,positions,durations_cleaned,start_date,end_date,names,profile_url,profile_heading,profile_category
DataScience_0,Jasper County Collector of Revenue,Deputy Collector of Revenue,2006 - 2010,2006-11-03,2010-11-03,David Benham,https://www.linkedin.com/in/david-benham-4582b755?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAuc1MQBqmRe5MvgDqNH9CmL8LcaUgOGaGk,Principal Data Scientist & Manager of Innovation and Data Analytics,DataScience
DataScience_0,Leggett & Platt,Advanced Application Developer Analyst,May 2010 - May 2012,2010-05-03,2012-05-03,David Benham,https://www.linkedin.com/in/david-benham-4582b755?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAuc1MQBqmRe5MvgDqNH9CmL8LcaUgOGaGk,Principal Data Scientist & Manager of Innovation and Data Analytics,DataScience
DataScience_0,Chesapeake Energy,Senior Software Developer,May 2012 - Oct 2017,2012-05-03,2017-10-03,David Benham,https://www.linkedin.com/in/david-benham-4582b755?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAuc1MQBqmRe5MvgDqNH9CmL8LcaUgOGaGk,Principal Data Scientist & Manager of Innovation and Data Analytics,DataScience
DataScience_0,Chesapeake Energy,Data Scientist,Oct 2017 - Feb 2019,2017-10-03,2019-02-03,David Benham,https://www.linkedin.com/in/david-benham-4582b755?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAuc1MQBqmRe5MvgDqNH9CmL8LcaUgOGaGk,Principal Data Scientist & Manager of Innovation and Data Analytics,DataScience
DataScience_0,Chesapeake Energy,Senior Data Scientist,Feb 2019 - Nov 2019,2019-02-03,2019-11-03,David Benham,https://www.linkedin.com/in/david-benham-4582b755?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAuc1MQBqmRe5MvgDqNH9CmL8LcaUgOGaGk,Principal Data Scientist & Manager of Innovation and Data Analytics,DataScience
DataScience_0,"Laredo Petroleum, Inc.",Senior Data Scientist,Dec 2019 - Sep 2021,2019-12-03,2021-09-03,David Benham,https://www.linkedin.com/in/david-benham-4582b755?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAuc1MQBqmRe5MvgDqNH9CmL8LcaUgOGaGk,Principal Data Scientist & Manager of Innovation and Data Analytics,DataScience
DataScience_0,"Laredo Petroleum, Inc.",Principal Data Scientist & Manager of Innovation and Data Analytics,Sep 2021 - Jul 2022,2021-09-03,2022-07-03,David Benham,https://www.linkedin.com/in/david-benham-4582b755?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAuc1MQBqmRe5MvgDqNH9CmL8LcaUgOGaGk,Principal Data Scientist & Manager of Innovation and Data Analytics,DataScience
DataScience_0,"Laredo Petroleum, Inc.",Director of Data and Innovation & Principal Data Scientist,Jul 2022 - Present,2022-07-03,2022-11-03,David Benham,https://www.linkedin.com/in/david-benham-4582b755?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAuc1MQBqmRe5MvgDqNH9CmL8LcaUgOGaGk,Principal Data Scientist & Manager of Innovation and Data Analytics,DataScience
DataScience_1,upGrad · Freelance,DATA SCIENCE MENTOR,Jan 2020 - Jun 2021,2020-01-03,2021-06-03,Siddharth Mahapatra,https://www.linkedin.com/in/siddharthmahapatra?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAKv_2UBgtNyk5WOTAE-oXpSTf50bHWgaTc,Principal Data Scientist | Change Agent – Influencer – Collaborative Leader | Relationship & Team Builder | Artificial Intelligence & Data Analytics,DataScience
DataScience_1,Microsoft,PRINCIPAL DATA SCIENTIST,Dec 2021 - Present,2021-12-03,2022-11-03,Siddharth Mahapatra,https://www.linkedin.com/in/siddharthmahapatra?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAKv_2UBgtNyk5WOTAE-oXpSTf50bHWgaTc,Principal Data Scientist | Change Agent – Influencer – Collaborative Leader | Relationship & Team Builder | Artificial Intelligence & Data Analytics,DataScience
DataScience_1,Microsoft,SENIOR DATA SCIENTIST,May 2017 - Dec 2021,2017-05-03,2021-12-03,Siddharth Mahapatra,https://www.linkedin.com/in/siddharthmahapatra?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAKv_2UBgtNyk5WOTAE-oXpSTf50bHWgaTc,Principal Data Scientist | Change Agent – Influencer – Collaborative Leader | Relationship & Team Builder | Artificial Intelligence & Data Analytics,DataScience
DataScience_1,Fidelity Investments,LEAD / MANAGER,Apr 2015 - May 2017,2015-04-03,2017-05-03,Siddharth Mahapatra,https://www.linkedin.com/in/siddharthmahapatra?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAKv_2UBgtNyk5WOTAE-oXpSTf50bHWgaTc,Principal Data Scientist | Change Agent – Influencer – Collaborative Leader | Relationship & Team Builder | Artificial Intelligence & Data Analytics,DataScience
DataScience_1,Fidelity Investments,ANALYST / SPECIALIST,May 2008 - Apr 2015,2008-05-03,2015-04-03,Siddharth Mahapatra,https://www.linkedin.com/in/siddharthmahapatra?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAKv_2UBgtNyk5WOTAE-oXpSTf50bHWgaTc,Principal Data Scientist | Change Agent – Influencer – Collaborative Leader | Relationship & Team Builder | Artificial Intelligence & Data Analytics,DataScience
DataScience_2,Verizon,Process & Data Engineering Leader,Apr 1999 - Dec 2018,1999-04-03,2018-12-03,Vamsi Nellutla,https://www.linkedin.com/in/vamsi-nellutla?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAEp_8YBkBUC_RbH_0QrF5XV7VCtWzikDRg,Principal Data Scientist - UnitedHealth Group,DataScience
DataScience_2,Tata Consultancy Services,Senior Consultant,Feb 1997 - Mar 1999,1997-02-03,1999-03-03,Vamsi Nellutla,https://www.linkedin.com/in/vamsi-nellutla?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAEp_8YBkBUC_RbH_0QrF5XV7VCtWzikDRg,Principal Data Scientist - UnitedHealth Group,DataScience
DataScience_2,Dallas Data Science Academy,Founder,Mar 2016 - Present,2016-03-03,2022-11-03,Vamsi Nellutla,https://www.linkedin.com/in/vamsi-nellutla?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAEp_8YBkBUC_RbH_0QrF5XV7VCtWzikDRg,Principal Data Scientist - UnitedHealth Group,DataScience
DataScience_2,UnitedHealth Group · Full-time,Principal Data Scientist,Jan 2019 - Present,2019-01-03,2022-11-03,Vamsi Nellutla,https://www.linkedin.com/in/vamsi-nellutla?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAEp_8YBkBUC_RbH_0QrF5XV7VCtWzikDRg,Principal Data Scientist - UnitedHealth Group,DataScience
DataScience_3,CreditShop,Data Analyst Intern,Jun 2016 - Dec 2016,2016-06-03,2016-12-03,Jing Xu,https://www.linkedin.com/in/jing-xu-39447146?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAmtz-ABiUkybS3pqd6jdqJA0VHs3rGX4NE,Principal Data Scientist at Capital One,DataScience
DataScience_3,Capital One · Full-time,Principal Data Scientist,Jan 2022 - Present,2022-01-03,2022-11-03,Jing Xu,https://www.linkedin.com/in/jing-xu-39447146?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAmtz-ABiUkybS3pqd6jdqJA0VHs3rGX4NE,Principal Data Scientist at Capital One,DataScience
DataScience_3,GM Financial · Full-time,Data Scientist,Apr 2020 - Jan 2022,2020-04-03,2022-01-03,Jing Xu,https://www.linkedin.com/in/jing-xu-39447146?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAmtz-ABiUkybS3pqd6jdqJA0VHs3rGX4NE,Principal Data Scientist at Capital One,DataScience
DataScience_3,MaxDecisions · Full-time,Data Scientist,Sep 2018 - Apr 2020,2018-09-03,2020-04-03,Jing Xu,https://www.linkedin.com/in/jing-xu-39447146?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAmtz-ABiUkybS3pqd6jdqJA0VHs3rGX4NE,Principal Data Scientist at Capital One,DataScience
DataScience_3,Texas Institute for Excellence in Mental Health,Research Analyst,Feb 2016 - Aug 2017,2016-02-03,2017-08-03,Jing Xu,https://www.linkedin.com/in/jing-xu-39447146?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAmtz-ABiUkybS3pqd6jdqJA0VHs3rGX4NE,Principal Data Scientist at Capital One,DataScience
DataScience_4,Assurant,Principal Data Scientist,Feb 2019 - Present,2019-02-03,2022-11-03,Shaunak Bangale,https://www.linkedin.com/in/shaunakbangale?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAI8IlcBhXVMDAeZWIlUOENixhljryV6NzU,Principal Data Scientist,DataScience
DataScience_4,Honeywell,Data Scientist,Jun 2015 - Aug 2017,2015-06-03,2017-08-03,Shaunak Bangale,https://www.linkedin.com/in/shaunakbangale?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAI8IlcBhXVMDAeZWIlUOENixhljryV6NzU,Principal Data Scientist,DataScience
DataScience_4,Absolutdata- Intelligent Analytics,Senior Analyst,Mar 2013 - Jul 2014,2013-03-03,2014-07-03,Shaunak Bangale,https://www.linkedin.com/in/shaunakbangale?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAI8IlcBhXVMDAeZWIlUOENixhljryV6NzU,Principal Data Scientist,DataScience
DataScience_4,Honeywell,Analytics Data Engineer,Sep 2017 - Feb 2019,2017-09-03,2019-02-03,Shaunak Bangale,https://www.linkedin.com/in/shaunakbangale?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAI8IlcBhXVMDAeZWIlUOENixhljryV6NzU,Principal Data Scientist,DataScience
DataScience_4,EasyMontra Technologies,Co-Founder,Dec 2011 - Feb 2013,2011-12-03,2013-02-03,Shaunak Bangale,https://www.linkedin.com/in/shaunakbangale?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAI8IlcBhXVMDAeZWIlUOENixhljryV6NzU,Principal Data Scientist,DataScience
DataScience_4,Mu Sigma,Business Analyst,Oct 2010 - Nov 2011,2010-10-03,2011-11-03,Shaunak Bangale,https://www.linkedin.com/in/shaunakbangale?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAI8IlcBhXVMDAeZWIlUOENixhljryV6NzU,Principal Data Scientist,DataScience
DataScience_5,Autodesk,Principal Data Scientist,Apr 2022 - Present,2022-04-03,2022-11-03,Nidhi Menon,https://www.linkedin.com/in/nidhinmenon?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABkf_nUB5qAshA5wKUNn0GCM2cx_mNQgvCY,Principal Data Scientist at Autodesk,DataScience
DataScience_5,Autodesk,Sr. Data Scientist,Jan 2019 - Apr 2022,2019-01-03,2022-04-03,Nidhi Menon,https://www.linkedin.com/in/nidhinmenon?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABkf_nUB5qAshA5wKUNn0GCM2cx_mNQgvCY,Principal Data Scientist at Autodesk,DataScience
DataScience_5,Easyhometutor,Content Writer,Jun 2015 - Dec 2015,2015-06-03,2015-12-03,Nidhi Menon,https://www.linkedin.com/in/nidhinmenon?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABkf_nUB5qAshA5wKUNn0GCM2cx_mNQgvCY,Principal Data Scientist at Autodesk,DataScience
DataScience_5,Georgia Institute of Technology,Graduate Teaching Assistant,Aug 2018 - Dec 2018,2018-08-03,2018-12-03,Nidhi Menon,https://www.linkedin.com/in/nidhinmenon?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABkf_nUB5qAshA5wKUNn0GCM2cx_mNQgvCY,Principal Data Scientist at Autodesk,DataScience
DataScience_5,Georgia Institute of Technology,Graduate Research Student,Jan 2018 - Dec 2018,2018-01-03,2018-12-03,Nidhi Menon,https://www.linkedin.com/in/nidhinmenon?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABkf_nUB5qAshA5wKUNn0GCM2cx_mNQgvCY,Principal Data Scientist at Autodesk,DataScience
DataScience_5,Autodesk,Data Science & Machine Learning Intern,May 2018 - Aug 2018,2018-05-03,2018-08-03,Nidhi Menon,https://www.linkedin.com/in/nidhinmenon?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABkf_nUB5qAshA5wKUNn0GCM2cx_mNQgvCY,Principal Data Scientist at Autodesk,DataScience
DataScience_5,SmartTurtles Inc.,Software Intern,Aug 2015 - Feb 2017,2015-08-03,2017-02-03,Nidhi Menon,https://www.linkedin.com/in/nidhinmenon?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABkf_nUB5qAshA5wKUNn0GCM2cx_mNQgvCY,Principal Data Scientist at Autodesk,DataScience
DataScience_6,Michigan State University,Statistical Consultant,Aug 2007 - Aug 2010,2007-08-03,2010-08-03,Wei W.,https://www.linkedin.com/in/wei-w-04313020?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAARKPzMBjznkJzwaQFhQzVmbrvXB4rKyXK8,Principal Data Scientist at Intuit,DataScience
DataScience_6,Michigan State University,Graduate research assisstant,Aug 2006 - Nov 2011,2006-08-03,2011-11-03,Wei W.,https://www.linkedin.com/in/wei-w-04313020?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAARKPzMBjznkJzwaQFhQzVmbrvXB4rKyXK8,Principal Data Scientist at Intuit,DataScience
DataScience_6,Vanderbilt University Medical Center · Full-time,Biostatistician II,Nov 2011 - Jan 2013,2011-11-03,2013-01-03,Wei W.,https://www.linkedin.com/in/wei-w-04313020?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAARKPzMBjznkJzwaQFhQzVmbrvXB4rKyXK8,Principal Data Scientist at Intuit,DataScience
DataScience_6,Palo Alto Medical Foundation,Information Management Analyst,Feb 2013 - Aug 2015,2013-02-03,2015-08-03,Wei W.,https://www.linkedin.com/in/wei-w-04313020?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAARKPzMBjznkJzwaQFhQzVmbrvXB4rKyXK8,Principal Data Scientist at Intuit,DataScience
DataScience_6,Palo Alto Medical Foundation,Senior Data Scientist,Aug 2015 - Nov 2015,2015-08-03,2015-11-03,Wei W.,https://www.linkedin.com/in/wei-w-04313020?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAARKPzMBjznkJzwaQFhQzVmbrvXB4rKyXK8,Principal Data Scientist at Intuit,DataScience
DataScience_6,Intuit,Principal Data Scientist,Feb 2021 - Present,2021-02-03,2022-11-03,Wei W.,https://www.linkedin.com/in/wei-w-04313020?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAARKPzMBjznkJzwaQFhQzVmbrvXB4rKyXK8,Principal Data Scientist at Intuit,DataScience
DataScience_6,Michigan State University,Teaching Assisstant,Jan 2008 - May 2008,2008-01-03,2008-05-03,Wei W.,https://www.linkedin.com/in/wei-w-04313020?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAARKPzMBjznkJzwaQFhQzVmbrvXB4rKyXK8,Principal Data Scientist at Intuit,DataScience
DataScience_6,Intuit,Staff Data Scientist,Nov 2015 - Feb 2021,2015-11-03,2021-02-03,Wei W.,https://www.linkedin.com/in/wei-w-04313020?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAARKPzMBjznkJzwaQFhQzVmbrvXB4rKyXK8,Principal Data Scientist at Intuit,DataScience
DataScience_7,Orzata,Co-founder and Chief Technology Officer,Apr 2012 - Oct 2013,2012-04-03,2013-10-03,"Ankur Kumar, Ph.D.",https://www.linkedin.com/in/ank286?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAMLB-gBG1QarTUwwWpsW7IYDpW2qZ5I33I,"Vice President, Principal Data Scientist at Prudential Financial",DataScience
DataScience_7,Accenture,Tech Arch | Artificial Intelligence (AI) & Video Analytics,Jul 2014 - Mar 2017,2014-07-03,2017-03-03,"Ankur Kumar, Ph.D.",https://www.linkedin.com/in/ank286?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAMLB-gBG1QarTUwwWpsW7IYDpW2qZ5I33I,"Vice President, Principal Data Scientist at Prudential Financial",DataScience
DataScience_7,Vanderbilt University,Graduate Research Assistant,Aug 2010 - Nov 2014,2010-08-03,2014-11-03,"Ankur Kumar, Ph.D.",https://www.linkedin.com/in/ank286?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAMLB-gBG1QarTUwwWpsW7IYDpW2qZ5I33I,"Vice President, Principal Data Scientist at Prudential Financial",DataScience
DataScience_7,Prudential Financial,"Vice President, Principal Data Scientist",Aug 2021 - Present,2021-08-03,2022-11-03,"Ankur Kumar, Ph.D.",https://www.linkedin.com/in/ank286?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAMLB-gBG1QarTUwwWpsW7IYDpW2qZ5I33I,"Vice President, Principal Data Scientist at Prudential Financial",DataScience
DataScience_7,Prudential Financial,Data Science Manager,Sep 2017 - Mar 2019,2017-09-03,2019-03-03,"Ankur Kumar, Ph.D.",https://www.linkedin.com/in/ank286?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAMLB-gBG1QarTUwwWpsW7IYDpW2qZ5I33I,"Vice President, Principal Data Scientist at Prudential Financial",DataScience
DataScience_7,autoXLR8R,"Orzata, CTO",May 2013 - Aug 2013,2013-05-03,2013-08-03,"Ankur Kumar, Ph.D.",https://www.linkedin.com/in/ank286?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAMLB-gBG1QarTUwwWpsW7IYDpW2qZ5I33I,"Vice President, Principal Data Scientist at Prudential Financial",DataScience
DataScience_7,Prudential Financial,"Data Scientist, Senior Manager",Mar 2019 - Aug 2021,2019-03-03,2021-08-03,"Ankur Kumar, Ph.D.",https://www.linkedin.com/in/ank286?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAMLB-gBG1QarTUwwWpsW7IYDpW2qZ5I33I,"Vice President, Principal Data Scientist at Prudential Financial",DataScience
DataScience_8,DBS Bank · Full-time,Lead Data Scientist,May 2017 - Apr 2021,2017-05-03,2021-04-03,"Dr Ramesh Mummineni Ph.D.,",https://www.linkedin.com/in/dr-ramesh-mummineni-ph-d-8b536017b?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACqWvwkBhfWww_G_mMaiblX6GZ0nmeOP6-g,Principal Data Scientist - Data Science | Machine Learning | AI,DataScience
DataScience_8,Wipro Limited · Full-time,Principal Data Scientist,May 2021 - Present,2021-05-03,2022-11-03,"Dr Ramesh Mummineni Ph.D.,",https://www.linkedin.com/in/dr-ramesh-mummineni-ph-d-8b536017b?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACqWvwkBhfWww_G_mMaiblX6GZ0nmeOP6-g,Principal Data Scientist - Data Science | Machine Learning | AI,DataScience
DataScience_8,Tech Mahindra · Full-time,Tech Lead,Jul 2010 - May 2017,2010-07-03,2017-05-03,"Dr Ramesh Mummineni Ph.D.,",https://www.linkedin.com/in/dr-ramesh-mummineni-ph-d-8b536017b?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACqWvwkBhfWww_G_mMaiblX6GZ0nmeOP6-g,Principal Data Scientist - Data Science | Machine Learning | AI,DataScience
DataScience_9,"EPSE , National school of  Business and Technology",Assistant Professor,Oct 2014 - Apr 2015,2014-10-03,2015-04-03,"Fouad Bousetouane, Ph.D",https://www.linkedin.com/in/fouad-bousetouane-ph-d-83382614?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAL4LycBAwxQBMjDzMrJWAgS0mUP5Q7hcyw,Senior Principal Data Scientist at Grainger,DataScience
