profile_id_dummy,education_institute,degree_name,start_year_degree,end_year_degree,profile_category,degree_bachelor,degree_master,degree_doctorate,degree_mba,education_degree_all,major_type
DataScience_0,Missouri Southern State University,"bachelor's degree, mathematics",2005,2010,DataScience,bachelor,,,,bachelor#None#None#None,STEM (Non-Engineering)
DataScience_1,Delhi University,"bachelor of arts (b.a.), economics",2002,2005,DataScience,bachelor,,,,bachelor#None#None#None,Business / Economics
DataScience_1,Anna University,"master of science (m.sc.), economics",2006,2008,DataScience,,master,,,None#master#None#None,Business / Economics
DataScience_2,Northcentral University,"doctor of philosophy - phd, data science specialization, minor in machine learning",1900,1900,DataScience,,,phd,,None#None#None#phd,STEM (Non-Engineering)
DataScience_2,The University of Iowa Tippie College of Business,"mba, business analytics",2007,2007,DataScience,,,,mba,None#None#mba#None,Business / Economics
DataScience_2,"Indian Institute of Technology, Bombay",operations research,1900,1900,DataScience,,,,,None#None#None#None,STEM (Non-Engineering)
DataScience_3,The University of Texas at Austin,"master's degree, quantitative methods",1900,1900,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_3,The University of Texas at Austin,"master of science - ms, statistics and data sciences",2017,2018,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_4,"National Institute of Technology, Tiruchirappalli","bachelor of technology (b.tech.), instrumentation and control engineering",2006,2010,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_4,W. P. Carey School of Business – Arizona State University,"master of science (ms), business analytics",2014,2015,DataScience,,master,,,None#master#None#None,Business / Economics
DataScience_4,Harvard Business School Online,"the credential of readiness, business analytics, economics for managers and financial accounting",2022,2022,DataScience,,,,,None#None#None#None,Business / Economics
DataScience_5,University of Mumbai,"bachelor of engineering (b.e.), computer engineering",2013,2017,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_5,Saint Mary's College of California,"certificate program, global management practices and leadership strategies",2016,2016,DataScience,,,,,None#None#None#None,Other
DataScience_5,Georgia Institute of Technology,"master of science - ms, computer science",2017,2018,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_6,Central South University,"master, applied probability",2003,2006,DataScience,,master,,,None#master#None#None,Other
DataScience_6,Michigan State University,"phd, soil science; soil x-ray ct imaging",2006,2012,DataScience,,,phd,,None#None#None#phd,Other
DataScience_6,Michigan State University,"master, applied statistics",2006,2011,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_7,Cornell University,"bachelor of science (b.s.), electrical and computer engineering",2004,2008,DataScience,bachelor,,,,bachelor#None#None#None,Engineering
DataScience_7,Cornell University,"master of engineering (m.eng.), electrical and computer engineering",2009,2010,DataScience,,master,,,None#master#None#None,Engineering
DataScience_7,Vanderbilt University,"doctor of philosophy (ph.d.), electrical engineering",2010,2014,DataScience,,,phd,,None#None#None#phd,Engineering
DataScience_8,Sri Venkateswara University,"master of science( m.sc.,) , statistics",1998,2000,DataScience,,master,,,None#master#None#None,STEM (Non-Engineering)
DataScience_8,Sri Venkateswara University,"doctor of philosophy - phd, statistics",2001,2005,DataScience,,,phd,,None#None#None#phd,STEM (Non-Engineering)
