profile_category,profile_id_dummy,months_exp
CTO,CTO_0,138
CTO,CTO_1,155
CTO,CTO_100,217
CTO,CTO_101,168
CTO,CTO_102,31
CTO,CTO_104,183
CTO,CTO_105,288
CTO,CTO_106,109
CTO,CTO_107,111
CTO,CTO_108,45
CTO,CTO_111,210
CTO,CTO_112,188
CTO,CTO_113,265
CTO,CTO_114,209
CTO,CTO_116,240
CTO,CTO_117,36
CTO,CTO_118,54
CTO,CTO_13,117
CTO,CTO_14,50
CTO,CTO_15,15
CTO,CTO_16,146
CTO,CTO_17,135
CTO,CTO_19,66
CTO,CTO_2,56
CTO,CTO_20,232
CTO,CTO_21,153
CTO,CTO_22,204
CTO,CTO_23,231
CTO,CTO_24,85
CTO,CTO_25,22
CTO,CTO_26,111
CTO,CTO_27,91
CTO,CTO_28,101
CTO,CTO_29,244
CTO,CTO_30,217
CTO,CTO_31,192
CTO,CTO_32,157
CTO,CTO_33,229
CTO,CTO_36,82
CTO,CTO_37,95
CTO,CTO_38,176
CTO,CTO_39,147
CTO,CTO_40,194
CTO,CTO_41,135
CTO,CTO_42,271
CTO,CTO_43,153
CTO,CTO_44,168
CTO,CTO_45,165
CTO,CTO_46,131
CTO,CTO_47,28
CTO,CTO_48,171
CTO,CTO_49,97
CTO,CTO_50,60
CTO,CTO_51,141
CTO,CTO_52,72
CTO,CTO_53,254
CTO,CTO_54,113
CTO,CTO_59,194
CTO,CTO_60,122
CTO,CTO_61,268
CTO,CTO_62,97
CTO,CTO_63,56
CTO,CTO_64,77
CTO,CTO_65,282
CTO,CTO_66,231
CTO,CTO_67,94
CTO,CTO_68,191
CTO,CTO_69,134
CTO,CTO_70,99
CTO,CTO_71,130
CTO,CTO_72,142
CTO,CTO_73,110
CTO,CTO_74,101
CTO,CTO_75,136
CTO,CTO_76,282
CTO,CTO_77,164
CTO,CTO_78,206
CTO,CTO_79,165
CTO,CTO_80,103
CTO,CTO_83,55
CTO,CTO_84,38
CTO,CTO_85,95
CTO,CTO_86,57
CTO,CTO_87,266
CTO,CTO_88,8
CTO,CTO_89,73
CTO,CTO_91,108
CTO,CTO_92,70
CTO,CTO_93,63
CTO,CTO_94,167
CTO,CTO_96,186
CTO,CTO_97,96
CTO,CTO_98,105
CTO,CTO_99,321
Consultant,Consultant_0,42
Consultant,Consultant_1,83
Consultant,Consultant_10,51
Consultant,Consultant_100,86
Consultant,Consultant_101,110
Consultant,Consultant_102,157
Consultant,Consultant_104,120
Consultant,Consultant_106,121
Consultant,Consultant_107,201
Consultant,Consultant_108,81
Consultant,Consultant_109,42
Consultant,Consultant_11,69
Consultant,Consultant_110,242
Consultant,Consultant_111,58
Consultant,Consultant_112,59
Consultant,Consultant_114,138
Consultant,Consultant_115,122
Consultant,Consultant_117,96
Consultant,Consultant_118,35
Consultant,Consultant_119,92
Consultant,Consultant_12,59
Consultant,Consultant_120,90
Consultant,Consultant_121,93
Consultant,Consultant_122,72
Consultant,Consultant_124,176
Consultant,Consultant_125,35
Consultant,Consultant_126,42
Consultant,Consultant_127,118
Consultant,Consultant_129,181
Consultant,Consultant_13,11
Consultant,Consultant_130,86
Consultant,Consultant_131,83
Consultant,Consultant_132,98
Consultant,Consultant_133,51
Consultant,Consultant_134,52
Consultant,Consultant_135,112
Consultant,Consultant_136,118
Consultant,Consultant_137,59
Consultant,Consultant_138,95
Consultant,Consultant_139,72
Consultant,Consultant_14,26
Consultant,Consultant_140,101
Consultant,Consultant_141,149
Consultant,Consultant_142,143
Consultant,Consultant_143,4
Consultant,Consultant_145,99
Consultant,Consultant_147,48
Consultant,Consultant_148,144
Consultant,Consultant_149,144
Consultant,Consultant_15,23
